step,train_loss,lr,elapsed_sec,eval_model_nll,eval_bayes_nll,eval_gap_pct,eval_fresh
1,0.7362069487571716,5e-07,4.331853151321411,nan,nan,nan,0
2,0.7074033468961716,1e-06,8.105933427810669,nan,nan,nan,0
3,0.7023627832531929,1.5e-06,12.018193244934082,nan,nan,nan,0
4,0.6978585496544838,2e-06,15.92067003250122,nan,nan,nan,0
5,0.720935195684433,2.5e-06,19.831963777542114,nan,nan,nan,0
6,0.7019871398806572,3e-06,23.767876863479614,nan,nan,nan,0
7,0.671130821108818,3.5e-06,27.67814588546753,nan,nan,nan,0
8,0.6609888598322868,4e-06,31.59399724006653,nan,nan,nan,0
9,0.6455835029482841,4.5e-06,35.497321367263794,nan,nan,nan,0
10,0.6486463323235512,5e-06,39.40333366394043,nan,nan,nan,0
11,0.6464537531137466,5.5e-06,43.32925367355347,nan,nan,nan,0
12,0.6293147578835487,6e-06,47.24351263046265,nan,nan,nan,0
13,0.6526805385947227,6.5000000000000004e-06,51.156317710876465,nan,nan,nan,0
14,0.658130593597889,7e-06,55.070043087005615,nan,nan,nan,0
15,0.6260136440396309,7.499999999999999e-06,58.99061703681946,nan,nan,nan,0
16,0.6525475531816483,8e-06,62.90431809425354,nan,nan,nan,0
17,0.6389218717813492,8.5e-06,66.81994318962097,nan,nan,nan,0
18,0.6477900743484497,9e-06,70.74572086334229,nan,nan,nan,0
19,0.6362726837396622,9.5e-06,74.65777468681335,nan,nan,nan,0
20,0.6338458508253098,1e-05,78.56437087059021,nan,nan,nan,0
21,0.6231114715337753,1.0500000000000001e-05,82.47704243659973,nan,nan,nan,0
22,0.648478552699089,1.1e-05,86.38835263252258,nan,nan,nan,0
23,0.6338610649108887,1.15e-05,90.29991841316223,nan,nan,nan,0
24,0.6384327858686447,1.2e-05,94.2121467590332,nan,nan,nan,0
25,0.6037107408046722,1.25e-05,98.11297273635864,nan,nan,nan,0
26,0.6249231696128845,1.3000000000000001e-05,102.01601767539978,nan,nan,nan,0
27,0.6105814799666405,1.35e-05,105.935800075531,nan,nan,nan,0
28,0.6079639792442322,1.4e-05,109.83885288238525,nan,nan,nan,0
29,0.5803338512778282,1.45e-05,113.73899340629578,nan,nan,nan,0
30,0.6143307760357857,1.4999999999999999e-05,117.64903855323792,nan,nan,nan,0
31,0.596869595348835,1.55e-05,121.5621349811554,nan,nan,nan,0
32,0.6364151239395142,1.6e-05,125.46826195716858,nan,nan,nan,0
33,0.6203766018152237,1.65e-05,129.3674294948578,nan,nan,nan,0
34,0.6114182472229004,1.7e-05,133.27223014831543,nan,nan,nan,0
35,0.6000088825821877,1.7500000000000002e-05,137.17601370811462,nan,nan,nan,0
36,0.6252816617488861,1.8e-05,141.07469534873962,nan,nan,nan,0
37,0.631694108247757,1.85e-05,144.9819848537445,nan,nan,nan,0
38,0.5998161360621452,1.9e-05,148.88983058929443,nan,nan,nan,0
39,0.6158802062273026,1.95e-05,152.79776573181152,nan,nan,nan,0
40,0.6247104331851006,2e-05,156.70324039459229,nan,nan,nan,0
41,0.6040385589003563,2.05e-05,160.60778045654297,nan,nan,nan,0
42,0.5992075726389885,2.1000000000000002e-05,164.50538873672485,nan,nan,nan,0
43,0.6172202378511429,2.15e-05,168.4054617881775,nan,nan,nan,0
44,0.5890694819390774,2.2e-05,172.30695033073425,nan,nan,nan,0
45,0.6104144863784313,2.2499999999999998e-05,176.2111370563507,nan,nan,nan,0
46,0.5980682894587517,2.3e-05,180.11008620262146,nan,nan,nan,0
47,0.5726406052708626,2.35e-05,184.00987219810486,nan,nan,nan,0
