k,state,true_mean,sample_mean,sample_std,abs_err
4,0,0.5,0.4384940734405808,0.04723200537655744,0.06150592655941922
4,1,0.2,0.438676465026181,0.04644473534843458,0.238676465026181
4,2,0.2,0.4365808823022553,0.05045278044570974,0.23658088230225527
4,3,0.5,0.44262377398380254,0.05537181289167666,0.05737622601619746
4,4,0.2,0.4365316107690866,0.04760724612247327,0.23653161076908658
4,5,0.5,0.43652378674923,0.05642804753985038,0.06347621325077002
4,6,0.5,0.4325287943277696,0.054343098227856344,0.06747120567223042
4,7,0.5,0.43845092200350566,0.059295930004579264,0.06154907799649434
4,8,0.8,0.4421466884056822,0.05178761070913045,0.3578533115943178
4,9,0.5,0.4360038290792802,0.060362929047233796,0.0639961709207198
4,10,0.5,0.43110376960089963,0.05698560824911197,0.06889623039910037
4,11,0.5,0.43914881729423105,0.060643850610636124,0.06085118270576895
4,12,0.5,0.43012676485269646,0.05756887181385476,0.06987323514730354
4,13,0.5,0.44403214679843905,0.0580572781408873,0.055967853201560946
4,14,0.5,0.43134758357421676,0.06401795137734465,0.06865241642578324
4,15,0.5,0.42745373104503587,0.07308223684905248,0.07254626895496413
