trial,true_p,context_ones,context_len,target_ones,target_len,true_prob,estimate,std_error,coef_var,rel_error,log10_ratio,p_rollout_mean,p_rollout_std,bayes_mean,target_mode
0,0.6641166769233291,34,50,37,50,2.0032632636564815e-13,2.286001225001828e-13,1.0790206472209116e-14,0.4720122786548589,0.14113869428687856,0.057338431887869135,0.7373499819636344,0.07228139537572623,0.6730769230769231,bernoulli
1,0.09843891692200041,8,50,4,50,2.580842604148004e-07,5.051572839104345e-07,3.110068533039704e-08,0.6156634046656894,0.9573347212206251,0.2916651001336401,0.1451499963644892,0.05991599884708205,0.17307692307692307,bernoulli
2,0.24832388549535023,11,50,14,50,7.777439261119545e-14,3.014779977722842e-14,3.0986253354577126e-15,1.0278114351144794,-0.6123685603314025,-0.4115810058192899,0.18999999485909938,0.06470652568889354,0.23076923076923078,bernoulli
3,0.21593462962880272,11,50,12,50,7.58559575934526e-13,5.056477550432037e-13,3.3067031387552074e-14,0.653953885046454,-0.3334106231270516,-0.17614161177093024,0.19454999478533863,0.06219435723607299,0.23076923076923078,bernoulli
4,0.20831531097652728,10,50,9,50,3.919397232500956e-11,4.394046575343043e-11,1.7364294548767873e-12,0.39517775360431273,0.12110263764696672,0.04964537434628369,0.18499999539926648,0.0603007523775008,0.21153846153846154,bernoulli
5,0.7808850559901963,39,50,39,50,2.5725063879518703e-12,1.8320931907442334e-12,9.227802214047275e-14,0.5036753731014498,-0.28781782648832416,-0.14740890126328665,0.8184499794244766,0.06277580373430262,0.7692307692307693,bernoulli
6,0.8810104982243507,43,50,41,50,3.7475408775011005e-11,3.4682710605009307e-11,1.6916384455512122e-12,0.4877468963763417,-0.07452081941969099,-0.033633346614792003,0.8639999780058861,0.04465388976932296,0.8461538461538461,bernoulli
7,0.2989169580173956,17,50,15,50,3.476926178894635e-14,3.5344274053150177e-14,1.485459983564687e-15,0.4202830651807631,0.01653794859649948,0.007123596017271083,0.3083499924838543,0.08664475669419576,0.34615384615384615,bernoulli
8,0.7877791054337019,47,50,40,50,1.3918810981369978e-12,1.5861436369304159e-12,2.1723949621596074e-13,1.3696079671345114,0.13956834319643702,0.05674037618865313,0.920649982392788,0.036520489391223855,0.9230769230769231,bernoulli
9,0.8509034238000672,42,50,47,50,1.91412493140977e-06,2.8091101302936808e-06,2.3508534322859293e-07,0.8368676638676881,0.46756885310759017,0.16659848594910187,0.8503999793529511,0.05558135082655199,0.8269230769230769,bernoulli
10,0.5116734097065787,27,50,29,50,1.1048692484260845e-15,8.524633813038528e-16,5.858946154375296e-17,0.6872959335114158,-0.2284486308961812,-0.11263515375423871,0.5730999873578548,0.09674288373452494,0.5384615384615384,bernoulli
11,0.2704681409619168,21,50,13,50,5.854314935263734e-14,1.2773278131966252e-13,1.2729629137470947e-14,0.9965827883770831,1.1818570188333783,0.3388262870560492,0.40724998943507673,0.09273042514381706,0.4230769230769231,bernoulli
12,0.7918174364876701,40,50,38,50,7.074392566867645e-13,3.5746110178704107e-13,2.5946151658322204e-14,0.7258454564317807,-0.49471124423999074,-0.2964603660517273,0.8374999785423278,0.05353578760424246,0.7884615384615384,bernoulli
13,0.24238666703758593,10,50,11,50,2.5403500581024726e-12,2.1583004605762522e-12,1.1446284183825542e-13,0.5303378465095383,-0.15039250055623998,-0.07078166274957987,0.1752999952249229,0.06279831121867925,0.21153846153846154,bernoulli
14,0.7173203470112387,36,50,35,50,3.8157395498218686e-14,1.3573096554610851e-14,1.2603450387989926e-15,0.9285611678426076,-0.6442866087323887,-0.4488997849571579,0.7733999797701836,0.06328082016953974,0.7115384615384616,bernoulli
15,0.6169461841307127,31,50,33,50,7.765254188890315e-15,5.64557008023783e-15,4.179557116763576e-16,0.7403250791968744,-0.2729703441884877,-0.13844787374534206,0.6864499843120575,0.07398829843806154,0.6153846153846154,bernoulli
16,0.8846665326726503,44,50,41,50,3.167310826865271e-11,3.469966955646238e-11,1.5973411344534415e-12,0.46033324088412153,0.09555618167115905,0.039634653703332745,0.8656999805569648,0.049788597830146795,0.8653846153846154,bernoulli
17,0.2587173697457769,13,50,9,50,2.4438810685542786e-11,4.245373251530481e-11,1.5170346521734668e-12,0.35733834513292023,0.7371439658648804,0.23983581210847227,0.2320999934896827,0.06626875215658015,0.2692307692307692,bernoulli
18,0.7692126157580745,39,50,42,50,1.4252353572730757e-10,2.438472549902453e-10,5.406642584525778e-12,0.22172251169044582,0.7109262252432602,0.23323128326376263,0.8152499824762345,0.05998272222873987,0.7692307692307693,bernoulli
19,0.5163485331674428,24,50,20,50,1.2429779044793442e-15,9.59917371187129e-16,8.652039376684905e-17,0.9013316808700872,-0.22772772731690907,-0.11222955759578745,0.4818999884277582,0.10107159333325137,0.4807692307692308,bernoulli
20,0.2584000623353607,15,50,13,50,2.2736544627904105e-13,2.3319759617421185e-13,1.051159888594827e-14,0.4507593156361487,0.025650994865829883,0.010999605620785502,0.26059999357908964,0.07374163629321559,0.3076923076923077,bernoulli
21,0.19931359391667008,9,50,9,50,4.12568129736943e-11,3.8734011182824067e-11,1.9731711120518777e-12,0.5094156406209865,-0.061148731785918516,-0.027403202739261445,0.16164999541826547,0.061748210137586586,0.19230769230769232,bernoulli
22,0.4980100716480144,25,50,21,50,8.687931275204983e-16,5.830609301305528e-16,6.076210216486814e-17,1.0421226843524385,-0.32888404424355205,-0.17320243572609328,0.511699987500906,0.10211388663230628,0.5,bernoulli
23,0.5744521765537879,30,50,30,50,1.7312318996942943e-15,8.381284548125752e-16,7.656966373418148e-17,0.9135790975060525,-0.5158774194487901,-0.3150446604285495,0.6659499821066857,0.08319074870911393,0.5961538461538461,bernoulli
24,0.21590418868563177,7,50,10,50,7.58430891875222e-12,3.3141079302209927e-12,4.200850535574474e-13,1.2675660008738312,-0.5630309938949278,-0.3595493661300342,0.1302499968279153,0.05787212848936769,0.15384615384615385,bernoulli
25,0.06340542508420902,4,50,2,50,9.755451942372754e-05,0.00012409350552182918,3.7964328551594286e-06,0.3059332427748688,0.2720426101719563,0.10450165930972899,0.08399999803863466,0.03761748701684884,0.09615384615384616,bernoulli
26,0.4740199060014147,27,50,19,50,7.425582286499981e-16,4.2539629068492986e-16,8.851865424217735e-17,2.0808515772352787,-0.427120629370281,-0.241936816401088,0.5807499870657921,0.08974524163118297,0.5384615384615384,bernoulli
27,0.7054189953649355,39,50,36,50,7.77743926111954e-14,2.179251883780434e-14,2.416406346811142e-15,1.1088237962742087,-0.7197982767059583,-0.5525291980481324,0.8215999770164489,0.05574925736203019,0.7692307692307693,bernoulli
28,0.8767404425961889,44,50,43,50,1.1284676003145695e-09,1.2868081384197854e-09,4.024469944937822e-11,0.31274825086822305,0.14031465153370565,0.05702470446778207,0.8774499812722206,0.04694696487907706,0.8653846153846154,bernoulli
29,0.6129806051619177,32,50,33,50,8.324729968124598e-15,4.733326057274715e-15,4.0080081300231386e-16,0.8467635826319582,-0.43141386262393777,-0.2452037329932235,0.7026999813318252,0.07757447049183458,0.6346153846153846,bernoulli
30,0.8754103152928421,47,50,45,50,5.318470468054676e-08,7.103571439175303e-08,1.2183729653045064e-09,0.1715155504152929,0.33564179435475144,0.12569000035961153,0.918349983394146,0.036488831137285634,0.9230769230769231,bernoulli
31,0.8282212259843973,38,50,37,50,2.5276677598638516e-13,1.206550656223964e-13,9.019287016740149e-15,0.7475265932859398,-0.522662481445365,-0.3211744289044969,0.8054499807953834,0.06691926691038654,0.75,bernoulli
32,0.24632858592498913,10,50,10,50,9.67752403086656e-12,8.808570885426513e-12,4.630150303182654e-13,0.5256414875247338,-0.08979085380398043,-0.040858804818963534,0.18429999466985464,0.06062082288151713,0.21153846153846154,bernoulli
33,0.8295146876644186,39,50,39,50,2.5725063879518723e-12,2.131130857042991e-12,9.768191323750842e-14,0.4583571811871048,-0.17157412435437602,-0.08174634450262452,0.8201499807834626,0.05603729346405278,0.7692307692307693,bernoulli
